timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 09:03:22.659, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.91 W, 30
2026/04/02 09:03:23.665, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.91 W, 30
2026/04/02 09:03:24.665, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.95 W, 30
2026/04/02 09:03:25.666, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.02 W, 30
2026/04/02 09:03:26.666, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 09:03:27.667, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.93 W, 30
2026/04/02 09:03:28.667, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.99 W, 30
2026/04/02 09:03:29.668, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.02 W, 30
2026/04/02 09:03:30.668, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 09:03:31.669, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.09 W, 30
2026/04/02 09:03:32.669, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.10 W, 30
2026/04/02 09:03:33.670, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.05 W, 30
2026/04/02 09:03:34.670, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 23.30 W, 30
2026/04/02 09:03:35.671, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 23.26 W, 30
2026/04/02 09:03:36.671, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.00 W, 30
2026/04/02 09:03:37.672, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.00 W, 30
2026/04/02 09:03:38.672, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 09:03:39.673, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.95 W, 30
2026/04/02 09:03:40.673, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 09:03:41.674, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.00 W, 30
2026/04/02 09:03:42.674, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.97 W, 30
2026/04/02 09:03:43.674, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.94 W, 30
2026/04/02 09:03:44.675, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.95 W, 30
2026/04/02 09:03:45.675, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 09:03:46.676, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.96 W, 30
2026/04/02 09:03:47.676, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.01 W, 30
2026/04/02 09:03:48.677, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.06 W, 30
2026/04/02 09:03:49.677, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 25.63 W, 30
2026/04/02 09:03:50.677, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 29.67 W, 30
2026/04/02 09:03:51.678, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 22.72 W, 30
2026/04/02 09:03:52.678, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 22.00 W, 30
2026/04/02 09:03:53.679, 0 %, 0 %, 271 MiB, 45220 MiB, 46068 MiB, 26.04 W, 31
2026/04/02 09:03:54.679, 0 %, 0 %, 273 MiB, 45218 MiB, 46068 MiB, 71.75 W, 32
2026/04/02 09:03:55.679, 0 %, 0 %, 273 MiB, 45218 MiB, 46068 MiB, 72.38 W, 32
2026/04/02 09:03:56.680, 0 %, 0 %, 273 MiB, 45218 MiB, 46068 MiB, 72.72 W, 32
2026/04/02 09:03:57.680, 0 %, 0 %, 273 MiB, 45218 MiB, 46068 MiB, 72.75 W, 33
2026/04/02 09:03:58.681, 0 %, 0 %, 385 MiB, 45106 MiB, 46068 MiB, 72.96 W, 33
2026/04/02 09:03:59.681, 0 %, 0 %, 729 MiB, 44762 MiB, 46068 MiB, 73.36 W, 33
2026/04/02 09:04:00.682, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 94.10 W, 35
2026/04/02 09:04:01.682, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 118.26 W, 36
2026/04/02 09:04:02.683, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 116.85 W, 36
2026/04/02 09:04:03.683, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 118.58 W, 36
2026/04/02 09:04:04.683, 38 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 122.08 W, 37
2026/04/02 09:04:05.684, 35 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 117.29 W, 37
2026/04/02 09:04:06.684, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 120.34 W, 37
2026/04/02 09:04:07.685, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 122.42 W, 37
2026/04/02 09:04:08.686, 37 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 117.31 W, 38
2026/04/02 09:04:09.686, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 116.48 W, 38
2026/04/02 09:04:10.687, 36 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 116.06 W, 38
