 timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 18:13:18.336, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 18:13:19.342, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.03 W, 30
2026/04/02 18:13:20.343, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.07 W, 30
2026/04/02 18:13:21.343, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.02 W, 30
2026/04/02 18:13:22.344, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 18:13:23.344, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.01 W, 30
2026/04/02 18:13:24.345, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.99 W, 30
2026/04/02 18:13:25.345, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.96 W, 30
2026/04/02 18:13:26.345, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.96 W, 30
2026/04/02 18:13:27.346, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 18:13:28.346, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.04 W, 30
2026/04/02 18:13:29.347, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.98 W, 30
2026/04/02 18:13:30.347, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 21.96 W, 30
2026/04/02 18:13:31.348, 0 %, 0 %, 0 MiB, 45490 MiB, 46068 MiB, 22.08 W, 30
2026/04/02 18:13:32.348, 0 %, 0 %, 1 MiB, 45490 MiB, 46068 MiB, 22.07 W, 30
2026/04/02 18:13:33.365, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 29.71 W, 30
2026/04/02 18:13:34.365, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 29.70 W, 30
2026/04/02 18:13:35.366, 0 %, 0 %, 3 MiB, 45488 MiB, 46068 MiB, 22.76 W, 30
